canonical_uuid,key,ifc_class,state,aliases,notes
be61f6d7-a3b7-448e-a5a5-9685228a8d27,IfcProject:Current apartment (v0 existing),IfcProject,active,,minted 2026-09-17 from the first stable-identity build
dde05e40-4a2b-41db-808c-9f844aa58715,IfcBuildingElementProxy:Vent shaft V1,IfcBuildingElementProxy,active,,minted 2026-09-17 from the first stable-identity build
6eadf753-4cde-434e-9806-69f7cc799507,IfcBuildingElementProxy:Vent shaft V2,IfcBuildingElementProxy,active,,minted 2026-09-17 from the first stable-identity build
433cf048-8622-42db-9498-8fa82326d975,IfcDoor:O8 door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
1c61112e-764c-4d6f-884e-edd7ecc25eda,IfcDoor:O7 door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
ff5c58b6-1a67-4708-9df2-666aba3b7e44,IfcDoor:O1 door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
9fcb7b13-0fe8-4810-82ff-a1c36bc109d9,IfcDoor:O6 door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
5ac9a367-34bc-438b-b109-f39929b03576,IfcDoor:O5 door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
19967303-17ab-4f52-9620-ac6daf58cf98,IfcDoor:O4b door,IfcDoor,active,,minted 2026-09-17 from the first stable-identity build
20caf8a9-e896-4e9c-860f-6efd466f68cc,IfcMember:O2 frame jamb L,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
2ba20187-89f4-4982-888a-8ee424849a2d,IfcMember:O2 frame jamb R,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
07574762-2908-4e56-a617-ad5860099c00,IfcMember:O2 frame head,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
a042693b-386a-45cb-b19c-ba60d367597f,IfcMember:O2 frame sill,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
91732e55-c9ff-4549-9012-a076bcff7e96,IfcMember:O3 frame jamb L,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
1183a840-9dbb-4c02-8d97-61c81e86fcf0,IfcMember:O3 frame jamb R,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
50681aa4-79a4-46ee-a070-3699679fe9cd,IfcMember:O3 frame head,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
a1ba03ad-8490-4d55-9f1d-cc1178f99861,IfcMember:O3 frame sill,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
6daf7704-0bca-4938-961c-12d37ce3287e,IfcMember:O2 frame mullion_1,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
a4451165-dd7a-463b-82e1-44b9649ce646,IfcMember:O3 frame mullion_1,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
664513c8-c851-4309-9229-f6f836f680ac,IfcMember:O3 frame transom_1,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
15c7909f-c38e-4c04-9e13-62b6de2b0c3e,IfcMember:O4 frame mullion_1,IfcMember,active,,minted 2026-09-17 from the first stable-identity build
b74b7449-b917-4a3e-b254-24dd3194faa2,IfcPlate:Loggia glazing bay 1,IfcPlate,active,,minted 2026-09-17 from the first stable-identity build
d902dc8a-b92d-4a73-8a38-8d1863b59d5d,IfcPlate:Loggia glazing bay 2,IfcPlate,active,,minted 2026-09-17 from the first stable-identity build
ec11da4a-af66-4b16-978b-7ff1900ded66,IfcPlate:Loggia glazing bay 3,IfcPlate,active,,minted 2026-09-17 from the first stable-identity build
2d1a0eeb-a5fe-4e44-b840-034bd820c59b,IfcPlate:Loggia glazing bay 4,IfcPlate,active,,minted 2026-09-17 from the first stable-identity build
